H,model,n,N,alpha,delta_t,strategy,value_sum,value_markovian,value_full
0.01,mixed_fbm,250,125,0.2,0.008,both,18.775928,21.023572,39.921048
0.01,mixed_fbm,250,125,1.0,0.008,both,81.022197,52.983009,101.232155
0.02,mixed_fbm,250,125,0.2,0.008,both,16.788646,18.297244,35.758316
0.01,fbm,250,250,1.0,1.0,both,,155.141006,318.307952
0.02,fbm,250,250,1.0,1.0,both,,124.996397,267.081544
0.03,fbm,250,250,1.0,1.0,both,,105.429778,233.482375
0.04,fbm,250,250,1.0,1.0,both,,90.81906,208.135165
0.03,mixed_fbm,250,125,0.2,0.008,both,14.966257,15.94907,32.178644
0.05,fbm,250,250,1.0,1.0,both,,79.15597,187.645137
0.06,fbm,250,250,1.0,1.0,both,,69.484835,170.387805
0.07,fbm,250,250,1.0,1.0,both,,61.272866,155.457331
0.02,mixed_fbm,250,125,1.0,0.008,both,73.810362,45.937574,90.311463
0.08,fbm,250,250,1.0,1.0,both,,54.19044,142.296217
0.04,mixed_fbm,250,125,0.2,0.008,both,13.297424,13.913456,29.012012
0.09,fbm,250,250,1.0,1.0,both,,48.017551,130.536575
0.1,fbm,250,250,1.0,1.0,both,,42.598397,119.922604
0.11,fbm,250,250,1.0,1.0,both,,37.817182,110.268983
0.12,fbm,250,250,1.0,1.0,both,,33.584318,101.436896
0.05,mixed_fbm,250,125,0.2,0.008,both,11.772182,12.139729,26.169943
0.13,fbm,250,250,1.0,1.0,both,,29.828128,93.31942
0.01,fbm,500,500,1.0,1.0,both,,319.72756,697.977702
0.03,mixed_fbm,250,125,1.0,0.008,both,67.532378,40.359401,81.619017
0.14,fbm,250,250,1.0,1.0,both,,26.489654,85.8322
0.15,fbm,250,250,1.0,1.0,both,,23.519309,78.907286
0.16,fbm,250,250,1.0,1.0,both,,20.874655,72.488922
0.17,fbm,250,250,1.0,1.0,both,,18.518892,66.530592
0.06,mixed_fbm,250,125,0.2,0.008,both,10.381592,10.58832,23.597728
0.18,fbm,250,250,1.0,1.0,both,,16.419805,60.992912
0.19,fbm,250,250,1.0,1.0,both,,14.549008,55.842083
0.2,fbm,250,250,1.0,1.0,both,,12.881381,51.048746
0.04,mixed_fbm,250,125,1.0,0.008,both,61.963888,35.741,74.30923
0.21,fbm,250,250,1.0,1.0,both,,11.394643,46.58712
0.01,mixed_fbm,500,250,0.2,0.004,both,59.179916,54.325298,107.874777
0.07,mixed_fbm,250,125,0.2,0.008,both,9.117474,9.227795,21.257981
0.22,fbm,250,250,1.0,1.0,both,,10.069003,42.434339
0.23,fbm,250,250,1.0,1.0,both,,8.886873,38.569951
0.24,fbm,250,250,1.0,1.0,both,,7.832625,34.975517
0.25,fbm,250,250,1.0,1.0,both,,6.892378,31.634299
0.02,fbm,500,500,1.0,1.0,both,,252.613743,579.914374
0.08,mixed_fbm,250,125,0.2,0.008,both,7.972203,8.032756,19.123367
0.26,fbm,250,250,1.0,1.0,both,,6.053806,28.531015
0.27,fbm,250,250,1.0,1.0,both,,5.305968,25.651638
0.28,fbm,250,250,1.0,1.0,both,,4.639159,22.983237
0.05,mixed_fbm,250,125,1.0,0.008,both,56.958194,31.808607,67.968424
0.29,fbm,250,250,1.0,1.0,both,,4.044772,20.513846
0.3,fbm,250,250,1.0,1.0,both,,3.515175,18.232354
0.09,mixed_fbm,250,125,0.2,0.008,both,6.938552,6.982205,17.172873
0.31,fbm,250,250,1.0,1.0,both,,3.043602,16.12842
0.32,fbm,250,250,1.0,1.0,both,,2.624053,14.192395
0.33,fbm,250,250,1.0,1.0,both,,2.251211,12.415259
0.34,fbm,250,250,1.0,1.0,both,,1.92036,10.788565
0.1,mixed_fbm,250,125,0.2,0.008,both,6.009573,6.058583,15.389686
0.35,fbm,250,250,1.0,1.0,both,,1.627316,9.304397
0.03,fbm,500,500,1.0,1.0,both,,210.227261,504.632267
0.36,fbm,250,250,1.0,1.0,both,,1.368369,7.955324
0.37,fbm,250,250,1.0,1.0,both,,1.140227,6.734366
0.06,mixed_fbm,250,125,1.0,0.008,both,52.413887,28.398491,62.356742
0.38,fbm,250,250,1.0,1.0,both,,0.939966,5.634963
0.39,fbm,250,250,1.0,1.0,both,,0.764989,4.650946
0.11,mixed_fbm,250,125,0.2,0.008,both,5.178513,5.246902,13.759893
0.4,fbm,250,250,1.0,1.0,both,,0.612989,3.776507
0.41,fbm,250,250,1.0,1.0,both,,0.481915,3.006183
0.42,fbm,250,250,1.0,1.0,both,,0.369945,2.334826
0.43,fbm,250,250,1.0,1.0,both,,0.275454,1.757589
0.44,fbm,250,250,1.0,1.0,both,,0.197,1.269907
0.45,fbm,250,250,1.0,1.0,both,,0.133295,0.867476
0.12,mixed_fbm,250,125,0.2,0.008,both,4.438755,4.534304,12.271641
0.46,fbm,250,250,1.0,1.0,both,,0.083195,0.54624
0.47,fbm,250,250,1.0,1.0,both,,0.045677,0.302378
0.48,fbm,250,250,1.0,1.0,both,,0.019832,0.132284
0.49,fbm,250,250,1.0,1.0,both,,0.004847,0.03256
0.5,fbm,250,250,1.0,1.0,both,,0.0,0.0
0.51,fbm,250,250,1.0,1.0,both,,0.004644,0.031581
0.07,mixed_fbm,250,125,1.0,0.008,both,48.257786,25.404251,57.320632
0.52,fbm,250,250,1.0,1.0,both,,0.018204,0.12445
0.53,fbm,250,250,1.0,1.0,both,,0.040165,0.275914
0.13,mixed_fbm,250,125,0.2,0.008,both,3.783781,3.909492,10.914571
0.02,mixed_fbm,500,250,0.2,0.004,both,53.15477,46.369418,96.351021
0.54,fbm,250,250,1.0,1.0,both,,0.070069,0.483433
0.55,fbm,250,250,1.0,1.0,both,,0.107507,0.744607
0.56,fbm,250,250,1.0,1.0,both,,0.152116,1.057171
0.57,fbm,250,250,1.0,1.0,both,,0.203568,1.418985
0.58,fbm,250,250,1.0,1.0,both,,0.261575,1.828029
0.59,fbm,250,250,1.0,1.0,both,,0.325877,2.282391
0.14,mixed_fbm,250,125,0.2,0.008,both,3.20716,3.362539,9.67942
0.6,fbm,250,250,1.0,1.0,both,,0.396244,2.780265
0.08,mixed_fbm,250,125,1.0,0.008,both,44.435239,22.752352,52.755056
0.61,fbm,250,250,1.0,1.0,both,,0.47247,3.319946
0.62,fbm,250,250,1.0,1.0,both,,0.554371,3.899819
0.15,mixed_fbm,250,125,0.2,0.008,both,2.702548,2.88491,8.55775
0.63,fbm,250,250,1.0,1.0,both,,0.641783,4.518357
0.64,fbm,250,250,1.0,1.0,both,,0.73456,5.174116
0.65,fbm,250,250,1.0,1.0,both,,0.832571,5.865729
0.04,fbm,500,500,1.0,1.0,both,,178.956588,448.477946
0.66,fbm,250,250,1.0,1.0,both,,0.935698,6.591903
0.09,mixed_fbm,250,125,1.0,0.008,both,40.904266,20.389357,48.584608
0.16,mixed_fbm,250,125,0.2,0.008,both,2.263711,2.468555,7.541742
0.67,fbm,250,250,1.0,1.0,both,,1.043839,7.351414
0.68,fbm,250,250,1.0,1.0,both,,1.156899,8.143104
0.69,fbm,250,250,1.0,1.0,both,,1.274796,8.965876
0.17,mixed_fbm,250,125,0.2,0.008,both,1.884554,2.106429,6.62406
0.7,fbm,250,250,1.0,1.0,both,,1.397461,9.818694
0.1,mixed_fbm,250,125,1.0,0.008,both,37.631843,18.274774,44.753103
0.71,fbm,250,250,1.0,1.0,both,,1.524825,10.700576
0.18,mixed_fbm,250,125,0.2,0.008,both,1.559154,1.792428,5.79775
0.72,fbm,250,250,1.0,1.0,both,,1.656835,11.610595
0.73,fbm,250,250,1.0,1.0,both,,1.793444,12.547874
0.19,mixed_fbm,250,125,0.2,0.008,both,1.281812,1.520886,5.056173
0.74,fbm,250,250,1.0,1.0,both,,1.934612,13.511586
0.11,mixed_fbm,250,125,1.0,0.008,both,34.591459,16.376823,41.217417
0.75,fbm,250,250,1.0,1.0,both,,2.080315,14.50095
0.03,mixed_fbm,500,250,0.2,0.004,both,47.635571,39.775468,86.625876
0.2,mixed_fbm,250,125,0.2,0.008,both,1.047087,1.28663,4.392961
0.76,fbm,250,250,1.0,1.0,both,,2.230527,15.515232
0.12,mixed_fbm,250,125,1.0,0.008,both,31.761445,14.669806,37.943616
0.77,fbm,250,250,1.0,1.0,both,,2.38524,16.553742
0.21,mixed_fbm,250,125,0.2,0.008,both,0.849846,1.085158,3.801999
0.78,fbm,250,250,1.0,1.0,both,,2.544453,17.615835
0.22,mixed_fbm,250,125,0.2,0.008,both,0.685294,0.912492,3.277408
0.79,fbm,250,250,1.0,1.0,both,,2.70818,18.70091
0.13,mixed_fbm,250,125,1.0,0.008,both,29.123807,13.132406,34.904437
0.8,fbm,250,250,1.0,1.0,both,,2.876441,19.808407
0.05,fbm,500,500,1.0,1.0,both,,154.194417,403.346167
0.23,mixed_fbm,250,125,0.2,0.008,both,0.549006,0.764773,2.813559
0.81,fbm,250,250,1.0,1.0,both,,3.049311,20.937815
0.24,mixed_fbm,250,125,0.2,0.008,both,0.436942,0.638843,2.405059
0.82,fbm,250,250,1.0,1.0,both,,3.226821,22.088668
0.25,mixed_fbm,250,125,0.2,0.008,both,0.345463,0.531881,2.046782
0.14,mixed_fbm,250,125,1.0,0.008,both,26.663389,11.746572,32.077568
0.83,fbm,250,250,1.0,1.0,both,,3.409072,23.260549
0.06,fbm,500,500,1.0,1.0,both,,133.80543,365.465242
0.84,fbm,250,250,1.0,1.0,both,,3.59618,24.453096
