H,model,n,N,alpha,delta_t,strategy,value_sum,value_markovian,value_full
0.01,fbm,250,250,1.0,1.0,both,,,318.307952
0.01,fbm,750,750,1.0,1.0,both,,,1092.543315
0.01,fbm,500,500,1.0,1.0,both,,,697.977702
0.02,fbm,250,250,1.0,1.0,both,,,267.081544
0.01,fbm,1000,1000,1.0,1.0,both,,,1495.675382
0.02,fbm,500,500,1.0,1.0,both,,,579.914374
0.03,fbm,250,250,1.0,1.0,both,,,233.482375
0.02,fbm,750,750,1.0,1.0,both,,,904.250925
0.04,fbm,250,250,1.0,1.0,both,,,208.135165
0.03,fbm,500,500,1.0,1.0,both,,,504.632267
0.05,fbm,250,250,1.0,1.0,both,,,187.645137
0.01,fbm,1250,1250,1.0,1.0,both,,,1904.727883
0.03,fbm,750,750,1.0,1.0,both,,,785.454687
0.06,fbm,250,250,1.0,1.0,both,,,170.387805
0.02,fbm,1000,1000,1.0,1.0,both,,,1235.324222
0.04,fbm,500,500,1.0,1.0,both,,,448.477946
0.07,fbm,250,250,1.0,1.0,both,,,155.457331
0.04,fbm,750,750,1.0,1.0,both,,,697.179209
0.01,fbm,1500,1500,1.0,1.0,both,,,2318.25999
0.08,fbm,250,250,1.0,1.0,both,,,142.296217
0.05,fbm,500,500,1.0,1.0,both,,,403.346167
0.03,fbm,1000,1000,1.0,1.0,both,,,1071.974996
0.09,fbm,250,250,1.0,1.0,both,,,130.536575
0.02,fbm,1250,1250,1.0,1.0,both,,,1571.098992
0.05,fbm,750,750,1.0,1.0,both,,,626.354806
0.06,fbm,500,500,1.0,1.0,both,,,365.465242
0.1,fbm,250,250,1.0,1.0,both,,,119.922604
0.04,fbm,1000,1000,1.0,1.0,both,,,950.811702
0.07,fbm,500,500,1.0,1.0,both,,,332.768468
0.06,fbm,750,750,1.0,1.0,both,,,566.965253
0.11,fbm,250,250,1.0,1.0,both,,,110.268983
0.12,fbm,250,250,1.0,1.0,both,,,101.436896
0.08,fbm,500,500,1.0,1.0,both,,,303.999023
0.03,fbm,1250,1250,1.0,1.0,both,,,1362.482545
0.02,fbm,1500,1500,1.0,1.0,both,,,1910.453386
0.07,fbm,750,750,1.0,1.0,both,,,515.736047
0.05,fbm,1000,1000,1.0,1.0,both,,,853.671466
0.13,fbm,250,250,1.0,1.0,both,,,93.31942
0.09,fbm,500,500,1.0,1.0,both,,,278.334567
0.14,fbm,250,250,1.0,1.0,both,,,85.8322
0.15,fbm,250,250,1.0,1.0,both,,,78.907286
0.1,fbm,500,500,1.0,1.0,both,,,255.206731
0.08,fbm,750,750,1.0,1.0,both,,,470.684828
0.16,fbm,250,250,1.0,1.0,both,,,72.488922
0.06,fbm,1000,1000,1.0,1.0,both,,,772.243394
0.17,fbm,250,250,1.0,1.0,both,,,66.530592
0.11,fbm,500,500,1.0,1.0,both,,,234.205407
0.18,fbm,250,250,1.0,1.0,both,,,60.992912
0.09,fbm,750,750,1.0,1.0,both,,,430.518491
0.04,fbm,1250,1250,1.0,1.0,both,,,1207.895729
0.19,fbm,250,250,1.0,1.0,both,,,55.842083
0.07,fbm,1000,1000,1.0,1.0,both,,,702.020639
0.03,fbm,1500,1500,1.0,1.0,both,,,1656.030486
0.12,fbm,500,500,1.0,1.0,both,,,215.024122
0.2,fbm,250,250,1.0,1.0,both,,,51.048746
0.1,fbm,750,750,1.0,1.0,both,,,394.345029
0.21,fbm,250,250,1.0,1.0,both,,,46.58712
0.13,fbm,500,500,1.0,1.0,both,,,197.427006
0.22,fbm,250,250,1.0,1.0,both,,,42.434339
0.05,fbm,1250,1250,1.0,1.0,both,,,1084.000277
0.23,fbm,250,250,1.0,1.0,both,,,38.569951
0.11,fbm,750,750,1.0,1.0,both,,,361.521464
0.08,fbm,1000,1000,1.0,1.0,both,,,640.281369
0.24,fbm,250,250,1.0,1.0,both,,,34.975517
0.25,fbm,250,250,1.0,1.0,both,,,31.634299
0.14,fbm,500,500,1.0,1.0,both,,,181.227891
0.26,fbm,250,250,1.0,1.0,both,,,28.531015
0.12,fbm,750,750,1.0,1.0,both,,,331.567377
0.04,fbm,1500,1500,1.0,1.0,both,,,1467.611219
0.27,fbm,250,250,1.0,1.0,both,,,25.651638
0.06,fbm,1250,1250,1.0,1.0,both,,,980.15826
0.15,fbm,500,500,1.0,1.0,both,,,166.276556
